subject_id,session_num,run_num,trial_idx,pre_pow_05_3hz,pre_pow_8_12hz,post_pow_05_3hz,post_pow_8_12hz,delta_pow_05_3hz,delta_pow_8_12hz
BAP001,2,1,1,,,0.035193012235709004,8.454912199748468e-05,,
BAP001,2,1,2,,,0.0019332499911954262,1.6755154309350072e-05,,
BAP001,2,1,3,,,0.012558864962024848,7.72817030395356e-05,,
BAP001,2,1,5,,,0.012060396396429342,4.010691324337246e-05,,
BAP001,2,1,7,,,0.0015281388027372233,7.825079891758567e-06,,
BAP001,2,1,9,,,0.06954124079641094,0.0023576032641111585,,
BAP001,2,1,10,,,0.0011320541045665893,6.147967778153727e-06,,
BAP001,2,1,11,,,0.0001502566230186493,1.3293548848842621e-06,,
BAP001,2,1,13,,,0.09046480655998308,0.0001702806794967516,,
BAP001,2,1,14,,,0.06792192589029929,7.357045944841009e-05,,
BAP001,2,1,15,,,0.033463612554103385,0.00023085343833161162,,
BAP001,2,1,16,,,0.02000036735789089,0.00028054894384128934,,
BAP001,2,1,18,,,0.0005292147442426844,1.9654592668797084e-05,,
BAP001,2,1,19,,,0.026520625312526636,0.00021243144809264433,,
BAP001,2,1,20,,,0.004393799757284537,3.456838081228849e-06,,
BAP001,2,1,21,,,0.15766703478748373,0.0005513468624835626,,
BAP001,2,1,22,,,0.0015421508367962165,9.763630777593118e-06,,
BAP001,2,1,23,,,0.19041916359386052,0.00046007096964425354,,
BAP001,2,1,24,,,0.0012328359587374805,1.3076709256412927e-05,,
BAP001,2,1,25,,,0.009668633799187823,2.6937703036284838e-05,,
BAP001,2,1,26,,,0.00851258268386007,1.7106713401681024e-05,,
BAP001,2,1,27,,,0.7755594652793087,0.000556474297423459,,
BAP001,2,1,28,,,0.00486173052439745,8.106179261682175e-06,,
BAP001,2,1,29,,,0.011201229360394844,1.9776876240456707e-05,,
BAP001,2,1,30,,,0.14679500827331365,0.0007088661292177038,,
BAP001,2,2,1,,,0.016026753827879707,5.0105946780939525e-05,,
BAP001,2,2,2,,,0.018844926575774107,0.00026807828769924956,,
BAP001,2,2,3,,,0.0005226808529386318,2.2835311202186915e-05,,
BAP001,2,2,4,,,0.09604072155353886,0.000261925369897832,,
BAP001,2,2,5,,,0.0023443912985990486,1.1996756215203199e-05,,
BAP001,2,2,6,,,0.3560797367901981,0.0005637724898537026,,
BAP001,2,2,7,,,0.0011514266983994317,1.130540803958935e-05,,
BAP001,2,2,8,,,0.44762377066373815,0.00019341797434217176,,
BAP001,2,2,9,,,0.037552287125397134,0.00028501263130477654,,
BAP001,2,2,10,,,0.09603098675257782,2.4037404392942937e-05,,
BAP001,2,2,11,,,0.00139450008617513,6.595895328541268e-06,,
BAP001,2,2,12,,,0.004736984109386958,3.890553911195563e-05,,
BAP001,2,2,13,,,0.01011153994543282,0.00021749318624095752,,
BAP001,2,2,14,,,0.0030433087629985704,2.4182834652226067e-05,,
BAP001,2,2,15,,,0.004896440233733479,4.153226238994565e-05,,
BAP001,2,2,16,,,0.06328592047298232,0.00031278166627165963,,
BAP001,2,2,17,,,0.0009911535356752267,7.132989411821881e-06,,
