is_high_grip,freq_hz,mean_psd,se_psd,n_trials
False,0.0,0.001847930301079009,9.771371221160773e-05,6822
False,0.3906,0.03997146880459431,0.0027208097065693246,6822
False,0.7812,0.09133258169756633,0.005504966388141976,6822
False,1.1719,0.051615910606472935,0.002644330547041991,6822
False,1.5625,0.023739555016900494,0.0012314370422924978,6822
False,1.9531,0.011909784875223149,0.0006679347159164312,6822
False,2.3438,0.006982436046482527,0.0004968369470608215,6822
False,2.7344,0.004392117374776644,0.0003711691706648769,6822
False,3.125,0.0027572230607290256,0.0002367029576333758,6822
False,3.5156,0.0017448364349451654,0.00015008845228806593,6822
False,3.9062,0.0012578666175389814,0.00013619453458969238,6822
False,4.2969,0.0009605986371159146,0.0001147504378337989,6822
False,4.6875,0.0007591296928655198,8.972135177756077e-05,6822
False,5.0781,0.0006440916153378924,7.773733900114605e-05,6822
False,5.4688,0.0005330053052369247,6.291834240567136e-05,6822
False,5.8594,0.0004551716420606184,5.456235302445295e-05,6822
False,6.25,0.00039988000552096186,5.404124085726818e-05,6822
False,6.6406,0.0003321514380087053,4.372803573658848e-05,6822
False,7.0312,0.0002863520603377233,3.6229392868596414e-05,6822
False,7.4219,0.00025496310324964113,3.299736213642982e-05,6822
False,7.8125,0.00022957574713589025,3.117146065074321e-05,6822
False,8.2031,0.00021221326034957433,3.035741402851275e-05,6822
False,8.5938,0.00018898221932439824,2.6623582967070317e-05,6822
False,8.9844,0.00016754668537040322,2.2474698296607755e-05,6822
False,9.375,0.00015603808593847983,2.150424599400084e-05,6822
False,9.7656,0.0001419893147837326,2.0383952829340772e-05,6822
False,10.1562,0.00012757716524803965,1.839800992277898e-05,6822
False,10.5469,0.0001197791122926176,1.7223059979922404e-05,6822
False,10.9375,0.00011177321832762207,1.5972214613563522e-05,6822
False,11.3281,0.00010469175114537452,1.5069012743073385e-05,6822
False,11.7188,9.86622163519093e-05,1.4424667747073226e-05,6822
False,12.1094,9.292848569122e-05,1.3670435809958005e-05,6822
False,12.5,8.58297936672845e-05,1.2003160969618928e-05,6822
False,12.8906,8.14551766398094e-05,1.1414775369221372e-05,6822
False,13.2812,7.737346534522356e-05,1.0963806437901471e-05,6822
False,13.6719,7.34592989649854e-05,1.0638533958863765e-05,6822
False,14.0625,6.877823820302389e-05,9.716423700124983e-06,6822
False,14.4531,6.560954890479816e-05,9.382427065820175e-06,6822
False,14.8438,6.209471346790264e-05,8.70278910910053e-06,6822
False,15.2344,5.919575906507211e-05,8.366143604259481e-06,6822
False,15.625,5.699170773579329e-05,8.184410465135734e-06,6822
False,16.0156,5.551222316456904e-05,7.933829808112017e-06,6822
False,16.4062,5.180318443062404e-05,7.276713606312098e-06,6822
False,16.7969,4.884470567982683e-05,6.928370881755624e-06,6822
False,17.1875,4.783633579102554e-05,6.828473094088403e-06,6822
False,17.5781,4.682869710439666e-05,6.6812848605055495e-06,6822
False,17.9688,4.5015070764556116e-05,6.350207284940131e-06,6822
False,18.3594,4.280654355057494e-05,5.910608892548041e-06,6822
False,18.75,4.157811381931303e-05,5.80794928987193e-06,6822
False,19.1406,4.04742205062606e-05,5.699567598717754e-06,6822
False,19.5312,3.930881991409565e-05,5.600424970211035e-06,6822
False,19.9219,3.833994872313884e-05,5.221915400885788e-06,6822
True,0.0,0.0004941527702871973,3.841166747249668e-06,7037
True,0.3906,0.008026540814005294,5.537980098443181e-05,7037
True,0.7812,0.016177320114736587,0.00014144813908330365,7037
True,1.1719,0.006756285661640968,8.625735315802988e-05,7037
True,1.5625,0.0022305037180539076,4.553170370686747e-05,7037
True,1.9531,0.0009392643963960293,3.365453020930743e-05,7037
True,2.3438,0.00048783610295720836,1.8697651328359683e-05,7037
True,2.7344,0.00028466067380276955,8.702683375294917e-06,7037
True,3.125,0.00017163733288851394,6.000716634805269e-06,7037
True,3.5156,0.00010217756094977323,4.265938194550438e-06,7037
True,3.9062,6.370391320281459e-05,3.084991640470091e-06,7037
True,4.2969,4.276008399256841e-05,1.9792266554181195e-06,7037
True,4.6875,3.145072552565654e-05,1.5202249210702063e-06,7037
True,5.0781,2.5395465803111052e-05,1.221341761614529e-06,7037
True,5.4688,2.18826024395721e-05,9.634203336832574e-07,7037
True,5.8594,2.0479051356800335e-05,8.456237660572215e-07,7037
True,6.25,1.943659381861885e-05,7.80235872809682e-07,7037
True,6.6406,1.655443809697278e-05,6.340126290205127e-07,7037
True,7.0312,1.3711500096942061e-05,5.351736397430262e-07,7037
True,7.4219,1.1913221175197134e-05,4.6799014045964203e-07,7037
True,7.8125,1.0214268356065469e-05,4.1055614570210676e-07,7037
True,8.2031,8.552142949970761e-06,3.4423360560388336e-07,7037
True,8.5938,7.660297920835406e-06,3.171338865670855e-07,7037
True,8.9844,6.894819702144879e-06,2.991702459686413e-07,7037
True,9.375,6.16257434846467e-06,2.7837123926704976e-07,7037
True,9.7656,5.6089531014290815e-06,2.615092538236076e-07,7037
True,10.1562,5.094738587407329e-06,2.350802177869066e-07,7037
True,10.5469,4.885368569423361e-06,2.1665281494663707e-07,7037
True,10.9375,4.652445860335662e-06,2.0782235462501543e-07,7037
True,11.3281,4.261118291080484e-06,1.9601201203824233e-07,7037
True,11.7188,4.012675168637762e-06,1.8515792860578462e-07,7037
True,12.1094,3.799840074514393e-06,1.6889212842415184e-07,7037
True,12.5,3.4924382957720874e-06,1.5578592708630534e-07,7037
True,12.8906,3.1863458913337856e-06,1.4255574151715693e-07,7037
