stim_level_index,shap_tremor,shap_rms,shap_tracking
0,-8.798394575956585e-06,-0.0009308158823516814,0.0006770500370652368
1,-0.0008766630458382378,-0.0021222310429804283,-0.00020212829175911203
2,-0.0002670733273904352,-0.0022082974688163288,0.00024222838927084712
3,-0.00011361734115759254,-0.0023128455019777987,-0.00019854405854432907
4,0.0006824145782977979,-0.001267624859311081,0.00042942878852531154
